     2    0.10483E+04    0.38566E-01    0.18924E-03    0.28915E+01
     3    0.98922E+03    0.55403E-01    0.20197E-03    0.34002E+01
     4    0.93297E+03    0.54235E-01    0.18490E-03    0.33237E+01
     5    0.89039E+03    0.41199E-01    0.15345E-03    0.29407E+01
     6    0.86065E+03    0.25819E-01    0.12051E-03    0.24494E+01
     7    0.84120E+03    0.14361E-01    0.94017E-04    0.19688E+01
     8    0.82908E+03    0.82668E-02    0.77080E-04    0.15627E+01
     9    0.82275E+03    0.59215E-02    0.69726E-04    0.12537E+01
    10    0.82074E+03    0.51286E-02    0.70387E-04    0.10469E+01
    11    0.82162E+03    0.45598E-02    0.77026E-04    0.93412E+00
    12    0.82586E+03    0.40322E-02    0.87783E-04    0.89994E+00
    13    0.83179E+03    0.34287E-02    0.10136E-03    0.91767E+00
    14    0.83851E+03    0.32318E-02    0.11672E-03    0.96005E+00
    15    0.84637E+03    0.33467E-02    0.13342E-03    0.10155E+01
    16    0.85585E+03    0.35454E-02    0.15118E-03    0.10772E+01
    17    0.86692E+03    0.38640E-02    0.16991E-03    0.11393E+01
    18    0.87868E+03    0.42264E-02    0.18957E-03    0.11985E+01
    19    0.89195E+03    0.46915E-02    0.21015E-03    0.12545E+01
    20    0.90505E+03    0.53798E-02    0.23164E-03    0.13064E+01
    21    0.91835E+03    0.62557E-02    0.25404E-03    0.13601E+01
    22    0.93216E+03    0.73282E-02    0.27731E-03    0.14204E+01
    23    0.94630E+03    0.85803E-02    0.30146E-03    0.14856E+01
    24    0.96082E+03    0.99661E-02    0.32646E-03    0.15524E+01
    25    0.97569E+03    0.11522E-01    0.35230E-03    0.16187E+01
    26    0.99073E+03    0.13254E-01    0.37896E-03    0.16832E+01
    27    0.10062E+04    0.15129E-01    0.40644E-03    0.17422E+01
    28    0.10219E+04    0.17142E-01    0.43475E-03    0.17926E+01
    29    0.10379E+04    0.19311E-01    0.46388E-03    0.18336E+01
    30    0.10542E+04    0.21667E-01    0.49382E-03    0.18642E+01
    31    0.10705E+04    0.24226E-01    0.52456E-03    0.18861E+01
    32    0.10872E+04    0.26991E-01    0.55608E-03    0.19007E+01
    33    0.11042E+04    0.29958E-01    0.58837E-03    0.19059E+01
    34    0.11214E+04    0.33143E-01    0.62141E-03    0.19007E+01
    35    0.11388E+04    0.36570E-01    0.65515E-03    0.18889E+01
    36    0.11561E+04    0.40266E-01    0.68957E-03    0.18734E+01
    37    0.11736E+04    0.44203E-01    0.72469E-03    0.18510E+01
    38    0.11915E+04    0.48356E-01    0.76053E-03    0.18195E+01
    39    0.12097E+04    0.52735E-01    0.79706E-03    0.17775E+01
    40    0.12281E+04    0.57361E-01    0.83424E-03    0.17235E+01
    41    0.12467E+04    0.62257E-01    0.87204E-03    0.16562E+01
    42    0.12653E+04    0.67433E-01    0.91043E-03    0.15752E+01
    43    0.12840E+04    0.72894E-01    0.94942E-03    0.14807E+01
    44    0.13028E+04    0.78630E-01    0.98898E-03    0.13736E+01
    45    0.13218E+04    0.84642E-01    0.10291E-02    0.12551E+01
    46    0.13412E+04    0.90933E-01    0.10698E-02    0.11241E+01
    47    0.13607E+04    0.97499E-01    0.11111E-02    0.98139E+00
    48    0.13802E+04    0.10434E+00    0.11528E-02    0.83079E+00
    49    0.13999E+04    0.11144E+00    0.11951E-02    0.67555E+00
    50    0.14200E+04    0.11877E+00    0.12379E-02    0.51212E+00
    51    0.14402E+04    0.12630E+00    0.12811E-02    0.33555E+00
    52    0.14609E+04    0.13412E+00    0.13249E-02    0.14082E+00
    53    0.14815E+04    0.14237E+00    0.13691E-02   -0.75226E-01
    54    0.15020E+04    0.15107E+00    0.14137E-02   -0.30779E+00
    55    0.15227E+04    0.16018E+00    0.14588E-02   -0.55197E+00
    56    0.15437E+04    0.16958E+00    0.15043E-02   -0.80899E+00
    57    0.15650E+04    0.17914E+00    0.15503E-02   -0.10784E+01
    58    0.15867E+04    0.18887E+00    0.15966E-02   -0.13606E+01
    59    0.16085E+04    0.19880E+00    0.16434E-02   -0.16560E+01
    60    0.16304E+04    0.20898E+00    0.16905E-02   -0.19635E+01
    61    0.16528E+04    0.21949E+00    0.17381E-02   -0.22820E+01
    62    0.16751E+04    0.23033E+00    0.17860E-02   -0.26128E+01
    63    0.16975E+04    0.24147E+00    0.18342E-02   -0.29570E+01
    64    0.17204E+04    0.25290E+00    0.18829E-02   -0.33162E+01
    65    0.17432E+04    0.26463E+00    0.19319E-02   -0.36913E+01
    66    0.17664E+04    0.27658E+00    0.19812E-02   -0.40808E+01
    67    0.17897E+04    0.28875E+00    0.20309E-02   -0.44820E+01
